Date,Open,High,Low,Close,Adj Close,Volume
02/04/19,1048,1069.5,1041.439941,1050.790039,1046.343994,65465
03/04/19,1050.800049,1061.72998,1045.410034,1049.609985,1045.168945,76875
04/04/19,1054.98999,1056.900024,1041.5,1053.189941,1048.733765,67832
05/04/19,1048.199951,1055.709961,1041,1044.26001,1039.841675,20431
08/04/19,1049.26001,1049.26001,1020,1033.780029,1029.406006,27426
09/04/19,1025,1039.97998,1002.640015,1019.210022,1019.210022,42434
10/04/19,1025,1029,1007.099976,1019.090027,1019.090027,57992
11/04/19,1013.320007,1038.930054,1011.059998,1029.319946,1029.319946,36007
12/04/19,1029.329956,1032.709961,1012.109985,1020.609985,1020.609985,16683
15/04/19,1020.609985,1030.839966,1012.01001,1016.47998,1016.47998,7656
16/04/19,1016.47998,1029.689941,1013,1017.299988,1017.299988,19169
17/04/19,1020.119995,1039,1016.820007,1021.130005,1021.130005,15498
22/04/19,1018.580017,1031.380005,1005.049988,1013.690002,1013.690002,16989
23/04/19,1018,1030,1006.289978,1012.890015,1012.890015,6157
24/04/19,1005.820007,1019.039978,1000.049988,1011.070007,1011.070007,16157
25/04/19,1004.099976,1022,963,1008.880005,1008.880005,22671
26/04/19,1009.23999,1022,1000.059998,1010.059998,1010.059998,8344
29/04/19,1005.169983,1014.650024,990.75,1010.76001,1010.76001,13146
30/04/19,1009.200012,1039,1000.119995,1008.419983,1008.419983,16059
02/05/19,1009.98999,1073,1009.98999,1056.48999,1056.48999,28244
03/05/19,1050.209961,1077,1035.150024,1051.219971,1051.219971,12279
06/05/19,1051.219971,1073.98999,1030.670044,1061.430054,1061.430054,18757
07/05/19,1058,1059.51001,1032.109985,1057.300049,1057.300049,59562
08/05/19,1048.430054,1063.98999,1042.550049,1050.910034,1050.910034,83212
09/05/19,1043,1063.079956,1025.050049,1055.060059,1055.060059,13937
10/05/19,1070,1074,1047.02002,1052.810059,1052.810059,6777
13/05/19,1052,1139.97998,1035.310059,1111.410034,1111.410034,49040
14/05/19,1111,1133,1095,1123.280029,1123.280029,66983
15/05/19,1120,1169.98999,1115.109985,1123.97998,1123.97998,118247
16/05/19,1129.589966,1188.97998,1115.219971,1170.319946,1170.319946,102680
17/05/19,1170,1183.949951,1135,1164.040039,1164.040039,50126
20/05/19,1170.170044,1213,1141.040039,1191.119995,1191.119995,50894
21/05/19,1198.199951,1215,1170.290039,1198.650024,1198.650024,121881
22/05/19,1185.01001,1215.949951,1181.060059,1193.76001,1193.76001,15555
23/05/19,1185,1203.869995,1169.030029,1196.25,1196.25,12269
24/05/19,1210,1223.98999,1191,1194.430054,1194.430054,12780
27/05/19,1206.77002,1219.98999,1195.099976,1213.900024,1213.900024,4682
28/05/19,1220,1245,1204.900024,1222.689941,1222.689941,96399
29/05/19,1216.27002,1229.390015,1190.380005,1206.48999,1206.48999,90089
30/05/19,1212,1224,1180.300049,1196.329956,1196.329956,34917
31/05/19,1190.349976,1222,1170.030029,1197.939941,1197.939941,28972
03/06/19,1222.689941,1264.97998,1189,1203.48999,1203.48999,39602
04/06/19,1205,1237,1193,1212.469971,1212.469971,12280
05/06/19,1212.469971,1227,1206,1210.060059,1210.060059,8176
06/06/19,1205,1218.550049,1196,1208.589966,1208.589966,13419
07/06/19,1198.01001,1211.880005,1191.050049,1198.290039,1198.290039,17931
10/06/19,1200,1205,1175.109985,1195.72998,1195.72998,80207
11/06/19,1203.5,1234.459961,1183.949951,1219.5,1219.5,72536
12/06/19,1214.01001,1276.98999,1214.01001,1223.27002,1223.27002,81064
13/06/19,1227.98999,1266,1220.02002,1239.660034,1239.660034,33412
14/06/19,1233.459961,1265,1233.459961,1238.839966,1238.839966,11909
17/06/19,1252,1255,1224.02002,1235.609985,1235.609985,12220
18/06/19,1243.400024,1248.030029,1223.130005,1232.709961,1232.709961,34597
19/06/19,1230,1264,1230,1237.01001,1237.01001,17506
20/06/19,1255.949951,1259.099976,1220.060059,1233.180054,1233.180054,15666
21/06/19,1240,1249.97998,1205.160034,1217.839966,1217.839966,226738
24/06/19,1218.01001,1260,1218.01001,1228.880005,1228.880005,51641
25/06/19,1225,1259.069946,1219.949951,1242.040039,1242.040039,21387
26/06/19,1241.680054,1277.439941,1240.089966,1250.97998,1250.97998,13255
27/06/19,1261.619995,1283.98999,1250.859985,1255.810059,1255.810059,31646
28/06/19,1256.359985,1268.949951,1242,1256.01001,1256.01001,11555
01/07/19,1269.98999,1269.98999,1224.199951,1242.640015,1242.640015,27743
02/07/19,1248,1267.97998,1231.920044,1254.48999,1254.48999,25919
03/07/19,1255.52002,1271.98999,1251.150024,1262.23999,1262.23999,86659
04/07/19,1264,1268.920044,1256.02002,1266.319946,1266.319946,1864
05/07/19,1265,1268.98999,1247,1252.280029,1252.280029,111357
08/07/19,1252.280029,1269.02002,1250,1253.849976,1253.849976,37850
09/07/19,1248.5,1266.51001,1230,1263.390015,1263.390015,8454
10/07/19,1266.910034,1275,1250.219971,1270.199951,1270.199951,12385
11/07/19,1266,1266,1250.400024,1262.560059,1262.560059,10773
12/07/19,1265,1265,1250.5,1258,1258,4657
15/07/19,1265,1265,1237,1246.780029,1246.780029,88696
16/07/19,1256,1259.199951,1239,1255.410034,1255.410034,87033
17/07/19,1255.800049,1299.98999,1249.25,1282.22998,1282.22998,20417
18/07/19,1279.400024,1305.900024,1261.51001,1290.219971,1290.219971,43591
19/07/19,1288.099976,1298.630005,1260.02002,1288.030029,1288.030029,24532
22/07/19,1291,1291,1261,1280.75,1280.75,13733
23/07/19,1268.319946,1300,1264.130005,1292.449951,1292.449951,14257
24/07/19,1300,1317.880005,1266.25,1280.76001,1280.76001,22440
25/07/19,1287.630005,1297.98999,1219.160034,1277.910034,1277.910034,80307
26/07/19,1276.109985,1285,1260.099976,1269.52002,1269.52002,14920
29/07/19,1281,1291.98999,1264.51001,1286.47998,1286.47998,9576
30/07/19,1283.27002,1298,1270,1290.839966,1290.839966,65395
31/07/19,1299.98999,1314.98999,1280.5,1294.530029,1294.530029,71607
01/08/19,1301.5,1326.400024,1282.02002,1312.689941,1312.689941,21060
02/08/19,1312.689941,1333.709961,1290,1329.069946,1329.069946,19795
05/08/19,1329.060059,1395,1314.050049,1372.829956,1372.829956,30754
06/08/19,1376,1418.98999,1350.030029,1373.449951,1373.449951,53211
07/08/19,1377,1414.800049,1365.699951,1389.560059,1389.560059,55769
08/08/19,1393,1407.98999,1364.349976,1390.219971,1390.219971,46455
09/08/19,1396.349976,1398.900024,1370.599976,1387.939941,1387.939941,14872
12/08/19,1375.880005,1408,1375.880005,1390.930054,1390.930054,35991
13/08/19,1402.199951,1427.77002,1363,1381.839966,1381.839966,19018
14/08/19,1372.089966,1391.670044,1350.150024,1370.219971,1370.219971,28212
15/08/19,1383,1383,1330,1355.880005,1355.880005,17747
16/08/19,1352.01001,1362.920044,1330.060059,1350.900024,1350.900024,11787
19/08/19,1361.949951,1387,1332.099976,1377.800049,1377.800049,11777
20/08/19,1365.390015,1389.219971,1365.390015,1376.77002,1376.77002,53823
21/08/19,1385,1388.98999,1361.199951,1367.709961,1367.709961,56000
22/08/19,1360.050049,1419.800049,1345,1402.459961,1402.459961,60402
23/08/19,1397.77002,1425.01001,1383.560059,1400.73999,1400.73999,55124
26/08/19,1397.23999,1410,1385.550049,1390.130005,1390.130005,55822
27/08/19,1401.949951,1419.98999,1388.5,1399.209961,1399.209961,54407
28/08/19,1409,1427.77002,1389.01001,1399.609985,1399.609985,65717
29/08/19,1400.420044,1419.880005,1386,1394.439941,1394.439941,96863
30/08/19,1398.430054,1410.969971,1371.640015,1387.75,1387.75,91528
02/09/19,1394,1422.01001,1380.060059,1399.75,1399.75,26529
03/09/19,1395.01001,1414.400024,1392,1400.180054,1400.180054,45012
04/09/19,1397.050049,1411.400024,1383.51001,1394.099976,1394.099976,38950
05/09/19,1400.099976,1419,1386,1399.97998,1399.97998,69458
06/09/19,1402.180054,1414,1387,1395.619995,1395.619995,30523
09/09/19,1395.619995,1404.790039,1370.050049,1385.410034,1385.410034,16648
10/09/19,1384.410034,1398.609985,1371.050049,1380.77002,1380.77002,18350
11/09/19,1389,1409,1373.170044,1395.97998,1395.97998,61435
12/09/19,1395.97998,1418.48999,1388.030029,1405.199951,1405.199951,43008
13/09/19,1404.800049,1426,1387,1393.280029,1393.280029,48103
17/09/19,1391.01001,1404.900024,1378,1386.280029,1386.280029,33773
18/09/19,1382,1406.22998,1381.01001,1394.650024,1394.650024,55500
19/09/19,1388.01001,1409,1388.01001,1399.5,1399.5,69915
20/09/19,1395.109985,1595.380005,1395.060059,1463.599976,1463.599976,278558
23/09/19,1456.890015,1456.890015,1420,1429.630005,1429.630005,116511
24/09/19,1430.140015,1454,1410.170044,1416.819946,1416.819946,74650
25/09/19,1410.01001,1410.560059,1375.880005,1385.689941,1385.689941,28035
26/09/19,1398.939941,1410,1376.140015,1395.339966,1395.339966,34165
27/09/19,1404,1404,1386.01001,1398.339966,1398.339966,57659
30/09/19,1397.47998,1408.050049,1386.050049,1399.73999,1399.73999,102237
01/10/19,1391.050049,1404.959961,1388,1393.469971,1393.469971,8608
02/10/19,1389.579956,1429.97998,1381.050049,1403.930054,1403.930054,26767
03/10/19,1406.27002,1406.280029,1389.01001,1394.73999,1394.73999,51780
04/10/19,1401,1414.72998,1392,1399.859985,1399.859985,62473
07/10/19,1398.02002,1408.5,1392.01001,1401.540039,1401.540039,10386
08/10/19,1406.949951,1413.079956,1386.109985,1391,1391,63927
09/10/19,1387.01001,1406.73999,1387.01001,1397.170044,1397.170044,60206
10/10/19,1404.48999,1404.48999,1390,1393.75,1393.75,85563
11/10/19,1400,1407.900024,1393.75,1399.73999,1399.73999,40983
14/10/19,1399.920044,1405.569946,1392.550049,1396.140015,1396.140015,23158
15/10/19,1403.949951,1405.98999,1393.5,1400.25,1400.25,14392
16/10/19,1394.160034,1404.939941,1387.51001,1393.060059,1393.060059,12191
17/10/19,1402.660034,1402.660034,1363,1386.349976,1386.349976,80052
18/10/19,1393.97998,1395.900024,1378.839966,1385.290039,1385.290039,71781
21/10/19,1394,1398.859985,1373.26001,1386.880005,1386.880005,8426
22/10/19,1385.01001,1397.98999,1383.01001,1393.550049,1393.550049,57150
23/10/19,1396.97998,1396.97998,1383.050049,1388.089966,1388.089966,7614
