MES,SUC,CLAVE,VentaCajas,VentaDinero
ENERO,CHA,9590219,4.166666031,907.6798615
ENERO,CHO,9590219,2.208333015,481.0703307
ENERO,CUA,9590219,0.5,108.9216
ENERO,E314,9590219,2.375,517.3776
ENERO,GAL,9590219,1.166666031,254.1502615
ENERO,HCT,9590219,5.916666031,1288.905461
ENERO,HUA,9590219,0.833333015,181.5359307
ENERO,HUI,9590219,8.291666031,1806.283061
ENERO,JCH,9590219,0.75,163.3824
ENERO,JOS,9590219,0.583333015,127.0751307
ENERO,JTX,9590219,4,871.3728
ENERO,MIX,9590219,2.291666031,499.2238615
ENERO,NEZ,9590219,0.75,163.3824
ENERO,PAC,9590219,1.333332986,290.4575243
ENERO,PIN,9590219,1.875,408.456
ENERO,PUE,9590219,0.708333015,154.3055307
ENERO,QUE,9590219,4.125,898.6032
ENERO,SAU,9590219,0.458332986,99.84472426
ENERO,SCY,9590219,7.625,1661.0544
ENERO,SFE,9590219,1.916666031,417.5326615
ENERO,SJU,9590219,1,217.8432
ENERO,TEC,9590219,3.083333015,671.6831307
ENERO,TEH,9590219,,0
ENERO,TEP,9590219,1.375,299.5344
ENERO,TEX,9590219,3.291666031,717.0670615
ENERO,TLA,9590219,0.916665971,199.6894485
ENERO,TLP,9590219,1.541666031,335.8414615
ENERO,TLX,9590219,1.458333015,317.6879307
ENERO,TPC,9590219,0.75,163.3824
ENERO,TUA,9590219,4.166666031,907.6798615
ENERO,TUL,9590219,0.166666001,36.30705501
ENERO,VIA,9590219,1.041666031,226.9198615
ENERO,XAL,9590219,2.166666031,471.9934615
ENERO,ZAR,9590219,2.791666031,608.1454615
ENERO,ZUM,9590219,0.75,163.3824
ENERO,MAR,9590208,6.541666031,1425.057461
ENERO,ACT,9590208,0.125,27.2304
ENERO,AME,9590208,1.166666031,254.1502615
ENERO,APZ,9590208,46.16666412,10057.09385
ENERO,AYO,9590208,2.5,544.608
ENERO,CAL,9590208,7.166666031,1561.209461
ENERO,CAM,9590208,0.041666001,9.076655007
ENERO,CAQ,9590208,0.458332986,99.84472426
ENERO,CHA,9590208,5.041666031,1098.292661
ENERO,CHO,9590208,5.291666031,1152.753461
ENERO,CUA,9590208,0.916666001,199.689455
ENERO,E314,9590208,2.166666031,471.9934615
ENERO,GAL,9590208,0.666665971,145.2286485
ENERO,HCT,9590208,11.791667,2568.734472
ENERO,HUA,9590208,1.541666031,335.8414615
ENERO,HUI,9590208,6.291666031,1370.596661
ENERO,JCH,9590208,1.75,381.2256
ENERO,JOS,9590208,0.5,108.9216
ENERO,JTX,9590208,1.916665971,417.5326485
ENERO,MIX,9590208,5,1089.216
ENERO,NEZ,9590208,,0
ENERO,PAC,9590208,1.75,381.2256
ENERO,PIN,9590208,2.833333015,617.2223307
ENERO,PUE,9590208,2.166666031,471.9934615
ENERO,QUE,9590208,3.666666031,798.7582615
ENERO,SAU,9590208,0.666665971,145.2286485
ENERO,SCY,9590208,6.875,1497.672
ENERO,SFE,9590208,2.5,544.608
ENERO,SJU,9590208,0.666665971,145.2286485
ENERO,TEC,9590208,2.75,599.0688
ENERO,TEH,9590208,0.083333001,18.1535275
